UserGuid,EmailAddress,CustomerNumber,AgreementNumber,LinkedAdminAgreement,AdminInvoiced,AgreementSignupDate,CustomerSignupDate,CustomerType,Segment,Commodity,ProductName,TariffCode,DistributionRegion,MeterPointEIC,MeterSerialNumber,SmartMeterInstalled,MeterReadingFrequency,LastMeterReadingDate,LastMeterReadingValue,AnnualConsumptionKWh,AnnualGasConsumptionM3,CurrentAccountingYearEndDate,InvoiceDeliveryMethod,InvoiceFrequency,LastInvoiceDate,LastInvoiceAmountEUR,OutstandingBalanceEUR,PaymentMethod,DirectDebitActive,LatePaymentsLast12M,PaymentPlanActive,MonthlyDepositEUR,EZonaRegistered,EZonaLastLoginDate,AppUsage,MobileAppPlatform,NewsletterConsent,MarketingConsent,OutageNotificationConsent,PlannedOutageCountLast12M,UnplannedOutageCountLast12M,OpenServiceRequests,LastServiceRequestDate,LastServiceRequestType,SolarInterestScore,EnergyEfficiencyLeadScore,EVInterest,HeatPumpInterest,GreenEnergySubscription,PaperlessInvoice,ComplaintCountLast24M,ChurnRiskScore,CustomerLifetimeValueEUR,PreferredContactChannel,City,PostalCode,NumberOfEmployees,IndustryCode,LegalForm,Superuser
c52f7bf2-654a-4cc1-aca0-8df3388cce2f,daniel.simekova11@municipal.sk,29857944,CX-111-832,ADM-662-640,FALSE,3/9/2025 6:05:00,3/9/2025 6:05:00,Business,Industrial,Gas,Firma Plyn Plus,B2B-ELE,Cadca,24ZSS6488942970P,GAS122524,TRUE,Monthly,3/5/2026 17:21:00,214813,0,1466,12/31/2026 0:00:00,Email,Annual,4/30/2026 0:00:00,296.63,164.25,Direct debit,TRUE,0,FALSE,314.9,TRUE,7/13/2025 11:47:00,"eZona web, mobile web",,FALSE,FALSE,TRUE,4,0,1,2/20/2026 16:23:00,Deposit change,4,4,FALSE,FALSE,FALSE,TRUE,1,5,18984.32,Email,Cadca,02201,86,852000,zivnostnik,TRUE
59541186-ded7-4f2b-b136-a597423e9f47,veronika.kral12@municipal.sk,28516581,TX-112-498,,TRUE,1/29/2021 5:07:00,1/29/2021 5:07:00,Business,Retail services,Electricity,Elektrina Domov,B2B-GAS,Trencin,24ZSS7240814971Q,ELM513969,TRUE,Monthly,3/13/2026 15:24:00,114134,117336,0,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,76.29,35.62,Postal order,FALSE,0,FALSE,64.83,TRUE,7/24/2025 17:58:00,"eZona web, API",,FALSE,FALSE,FALSE,0,0,1,7/25/2025 3:14:00,Move contract,3,10,FALSE,FALSE,FALSE,TRUE,1,4,4348.53,Phone,Trencin,91101,36,861000,s.r.o.,FALSE
970dc558-9a61-40bb-b104-e1803d5e47ba,andrea.tothova13@example-business.sk,27887821,PX-113-405,,TRUE,9/4/2018 12:46:00,9/4/2018 12:46:00,Business,Small business,Electricity,Verejna Sprava Elektrina,B2B-DUO,Prievidza,24ZSS1682000482M,ELM497212,TRUE,Monthly,4/6/2026 20:55:00,131328,46388,0,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,72.81,72.79,Bank transfer,FALSE,0,FALSE,78.19,FALSE,,,,FALSE,TRUE,FALSE,0,1,0,,Solar consultation,0,8,FALSE,FALSE,FALSE,FALSE,0,1,2985.21,Email,Prievidza,97101,27,682000,obec,FALSE
04f60b3a-12f0-4158-84a5-d7c9ee15eb4a,natalia.bartosova14@azet.sk,19298913,ZX-114-879,,FALSE,1/17/2018 9:20:00,1/17/2018 9:20:00,Household,Green energy,Gas,Plyn Komfort,DD1-DOM,Zilina,24ZSS6663880531P,GAS262747,TRUE,Monthly,4/18/2026 5:48:00,40279,0,391,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,47.51,0,Card,FALSE,0,FALSE,45.05,TRUE,3/16/2026 7:23:00,eZona web,,TRUE,TRUE,TRUE,2,2,0,7/5/2025 22:29:00,Tariff consultation,4,3,FALSE,FALSE,TRUE,TRUE,4,1,1615.34,eZona message,Zilina,01001,,,,TRUE
3fbd6357-38b5-4383-bd3c-7d130894f776,jana.mikulas15@post.sk,18253137,ZX-115-123,,FALSE,4/19/2018 23:29:00,4/19/2018 23:29:00,Household,Price sensitive,Electricity,Elektrina Domov,B2B-DUO,Zvolen,24ZSS7352949334P,ELM289473,FALSE,Quarterly,5/2/2026 15:32:00,30513,4790,0,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,49.91,0,Direct debit,FALSE,0,FALSE,49.55,TRUE,12/8/2025 8:11:00,"eZona web, API",,FALSE,TRUE,FALSE,5,1,2,3/29/2025 17:23:00,Move contract,0,9,FALSE,TRUE,TRUE,TRUE,0,5,1247.75,Email,Zvolen,96001,,,,FALSE
c20edf0b-fddc-494a-9202-bf5edf62e4f9,miroslav.urban16@post.sk,18945300,TX-116-242,,FALSE,4/14/2021 14:57:00,4/14/2021 14:57:00,Household,Standard household,Gas,Plyn Domov,B2B-DUO,Trencin,24ZSS6748894303K,GAS190225,TRUE,Monthly,3/7/2026 15:28:00,37191,0,1919,12/31/2026 0:00:00,Post,Monthly,4/30/2026 0:00:00,124.55,0,Direct debit,FALSE,0,FALSE,110.9,TRUE,8/17/2025 0:16:00,mobile web,iOS,TRUE,FALSE,TRUE,0,1,3,,Tariff consultation,0,6,FALSE,TRUE,FALSE,FALSE,0,3,2241.9,Phone,Trencin,91101,,,,FALSE
9dbe556b-1d93-430f-9184-4cdf25a9b77e,juraj.kovac17@post.sk,13775735,CX-117-188,,FALSE,3/20/2019 14:06:00,3/20/2019 14:06:00,Household,Standard household,Electricity + Gas,Online Domov Duo,B2B-GAS,Cadca,24ZSS2007180894Q,ELM649565,FALSE,Annual,4/19/2026 14:05:00,8869,3346,895,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,119.86,0,Direct debit,FALSE,1,FALSE,131.71,TRUE,2/25/2025 13:07:00,mobile web,iOS,TRUE,TRUE,TRUE,3,3,1,4/15/2025 3:17:00,Tariff consultation,2,9,FALSE,TRUE,FALSE,TRUE,1,7,8030.62,SMS,Cadca,02201,,,,TRUE
1095f780-00e8-4f73-828d-38a90269d13c,daniel.simekova18@example.sk,19087448,PX-118-383,,FALSE,8/15/2024 18:44:00,8/15/2024 18:44:00,Household,Digital household,Gas,Firma Plyn Plus,DD1-DOM,Poprad,24ZSS4751114979K,GAS147230,TRUE,Monthly,3/1/2026 16:42:00,33516,0,1340,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,116.7,0,Direct debit,TRUE,1,FALSE,100.39,TRUE,2/28/2026 19:47:00,"eZona web, API",iOS,TRUE,FALSE,TRUE,5,3,1,4/7/2026 10:59:00,Complaint,6,6,FALSE,TRUE,FALSE,FALSE,0,5,5718.3,SMS,Poprad,05801,,,,TRUE
5d818eb9-2b33-4e4a-8bb1-4a38cc983150,simona.varga19@azet.sk,16145505,RX-119-756,,FALSE,11/24/2022 8:30:00,11/24/2022 8:30:00,Household,Digital household,Gas,Firma Plyn Plus,B2B-DUO,Ruzomberok,24ZSS1064163866K,GAS151065,FALSE,Annual,3/5/2026 4:36:00,42647,0,896,12/31/2026 0:00:00,Email,Annual,4/30/2026 0:00:00,105.28,13.04,Direct debit,TRUE,0,FALSE,91.53,TRUE,8/11/2025 2:47:00,eZona web,,TRUE,TRUE,TRUE,1,1,0,9/3/2025 2:43:00,Move contract,6,4,FALSE,FALSE,TRUE,TRUE,1,3,3790.08,Phone,Ruzomberok,03401,,,,TRUE
3ad90e08-3bc9-4067-b62a-646956a9ace6,miroslav.varga20@example.sk,12175627,MX-120-301,,FALSE,2/3/2021 5:58:00,2/3/2021 5:58:00,Household,Senior assisted,Gas,Plyn Komfort,B2B-DUO,Martin,24ZSS7500784279M,GAS767553,FALSE,Annual,3/27/2026 4:27:00,24854,0,1646,12/31/2026 0:00:00,Post,Quarterly,4/30/2026 0:00:00,134.53,0,Direct debit,TRUE,3,FALSE,115.48,FALSE,,,,FALSE,FALSE,TRUE,2,3,0,,Meter reading,3,5,FALSE,FALSE,FALSE,FALSE,1,7,7533.68,Phone,Martin,03601,,,,FALSE
72ce3033-5f40-4b5d-b325-1b35640e283b,zuzana.simekova21@gmail.com,12273994,RX-121-805,,FALSE,3/25/2026 19:12:00,3/25/2026 19:12:00,Household,Price sensitive,Electricity,Verejna Sprava Elektrina,B2B-ELE,Ruzomberok,24ZSS8388470214K,ELM891465,TRUE,Monthly,3/29/2026 12:18:00,39961,8082,0,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,71.54,0,Direct debit,TRUE,0,FALSE,67.74,FALSE,,,,TRUE,FALSE,TRUE,5,0,0,2/4/2026 17:09:00,Contact support,5,10,FALSE,FALSE,FALSE,FALSE,0,4,2003.12,Phone,Ruzomberok,03401,,,,FALSE
4e6c76a8-3ce3-4e1c-a00d-53a0217dbab1,katarina.varga22@gmail.com,10048546,PX-122-886,,FALSE,2/6/2019 3:33:00,2/6/2019 3:33:00,Household,Standard household,Electricity + Gas,Online Domov Duo,B2B-ELE,Poprad,24ZSS2360778524K,ELM631817,TRUE,Monthly,4/20/2026 23:22:00,24604,8702,1062,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,125.06,0,Direct debit,FALSE,0,FALSE,139.44,FALSE,,,,TRUE,TRUE,TRUE,2,1,0,2/26/2025 11:55:00,Contact support,4,10,FALSE,TRUE,TRUE,FALSE,1,4,4752.28,eZona message,Poprad,05801,,,,FALSE
9dadfc9f-3916-4e42-a59e-b98da6ed7836,juraj.polak23@gmail.com,15881760,LM-123-315,,FALSE,7/10/2025 3:02:00,7/10/2025 3:02:00,Household,Solar interest,Electricity,Elektrina Domov,B2B-DUO,Liptovsky Mikulas,24ZSS7635524040K,ELM886489,TRUE,Monthly,3/16/2026 22:16:00,15747,8276,0,12/31/2026 0:00:00,Email,Annual,4/30/2026 0:00:00,66.57,11.46,Direct debit,TRUE,0,FALSE,68.35,TRUE,11/30/2025 6:25:00,"eZona web, mobile web",,TRUE,FALSE,TRUE,1,0,1,2/2/2026 4:49:00,Invoice copy,9,10,FALSE,TRUE,FALSE,TRUE,1,6,3994.2,SMS,Liptovsky Mikulas,03101,,,,TRUE
3c09a165-ef0b-485e-a9dc-5b9fd1280b95,veronika.fedorova24@post.sk,16294259,LM-124-506,,FALSE,11/26/2020 2:57:00,11/26/2020 2:57:00,Household,Green energy,Gas,Plyn Komfort,B2B-DUO,Liptovsky Mikulas,24ZSS2600314376M,GAS535582,FALSE,Quarterly,4/12/2026 12:28:00,47089,0,1761,12/31/2026 0:00:00,Post,Quarterly,4/30/2026 0:00:00,159.86,391.25,Direct debit,TRUE,1,TRUE,154.72,TRUE,5/11/2026 11:05:00,mobile web,,TRUE,TRUE,TRUE,1,3,0,2/21/2026 1:51:00,Tariff consultation,2,4,FALSE,FALSE,TRUE,FALSE,1,4,5435.24,SMS,Liptovsky Mikulas,03101,,,,TRUE
65f6d869-8c8f-49c7-945c-454301cf7da4,veronika.simekova25@example.sk,12875723,TX-125-429,,FALSE,7/7/2022 11:55:00,7/7/2022 11:55:00,Household,High consumption,Electricity,Verejna Sprava Elektrina,DD2-DOM,Trencin,24ZSS3033316421P,ELM683006,TRUE,Monthly,3/6/2026 21:51:00,40272,2237,0,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,47.43,0,Direct debit,FALSE,0,FALSE,40.51,TRUE,6/25/2025 16:07:00,"eZona web, mobile web",,FALSE,FALSE,TRUE,3,3,0,11/27/2025 23:52:00,Tariff consultation,6,5,TRUE,FALSE,FALSE,FALSE,0,2,3414.96,eZona message,Trencin,91101,,,,TRUE
945338ad-527c-499b-a575-cd8792867f46,daniel.mikulas26@azet.sk,17053574,MX-126-777,,FALSE,2/22/2021 20:29:00,2/22/2021 20:29:00,Household,High consumption,Electricity + Gas,Online Domov Duo,DMP1-PLYN,Martin,24ZSS7408776321M,ELM324506,TRUE,Monthly,3/19/2026 3:57:00,18492,7559,1092,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,120.5,79.5,Card,FALSE,0,FALSE,106.11,FALSE,,,,TRUE,FALSE,FALSE,5,0,0,3/31/2026 5:50:00,Contact support,0,10,TRUE,FALSE,FALSE,FALSE,1,5,6989,SMS,Martin,03601,,,,FALSE
3e8aa624-efbf-44fe-89cd-99db0d0321ff,andrea.danko27@example-business.sk,22651071,RX-127-401,ADM-385-177,TRUE,9/10/2020 7:06:00,9/10/2020 7:06:00,Business,Retail services,Electricity + Gas,Firma Energia Plus,DD2-DOM,Ruzomberok,24ZSS9212815209Q,ELM281547,TRUE,Monthly,3/7/2026 6:31:00,212115,16468,10106,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,754.96,0,Direct debit,TRUE,1,FALSE,654.23,TRUE,1/7/2025 20:49:00,eZona web,,TRUE,FALSE,FALSE,1,2,1,3/30/2025 1:57:00,Solar consultation,6,3,FALSE,FALSE,TRUE,TRUE,1,3,14344.24,Phone,Ruzomberok,03401,15,561000,obec,TRUE
f87e4af1-7fa8-4faa-b5ff-2e25c95ceba3,tomas.danko28@municipal.sk,23487979,PX-128-321,ADM-137-106,TRUE,7/1/2023 23:20:00,7/1/2023 23:20:00,Business,Public sector,Gas,Plyn Domov,DD5-SOLAR,Prievidza,24ZSS2273691431Q,GAS367764,TRUE,Monthly,4/14/2026 4:34:00,226130,0,4750,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,396.25,0,Direct debit,TRUE,0,FALSE,392.68,TRUE,1/2/2026 14:04:00,eZona web,iOS,FALSE,TRUE,FALSE,4,0,1,,Move contract,4,5,FALSE,FALSE,FALSE,TRUE,0,4,19812.5,Email,Prievidza,97101,2,493200,a.s.,TRUE
84f33172-48eb-46b3-a2ca-57a3cedbeb4e,marek.gregorova29@energia-client.sk,26615431,CX-129-541,,TRUE,7/8/2019 20:18:00,7/8/2019 20:18:00,Business,Industrial,Electricity + Gas,Online Domov Duo,B2B-GAS,Cadca,24ZSS2549116147Q,ELM374998,FALSE,Quarterly,3/28/2026 2:58:00,122077,89390,13300,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,872.48,0,Direct debit,TRUE,0,FALSE,778.46,TRUE,3/10/2025 19:36:00,mobile web,,TRUE,FALSE,TRUE,3,1,1,,Invoice copy,5,8,FALSE,FALSE,TRUE,TRUE,1,3,17449.6,Email,Cadca,02201,105,861000,zivnostnik,TRUE
7c05edf6-657e-4fbf-918d-c6298f779a9c,daniel.gregorova30@energia-client.sk,27072223,ZX-130-830,ADM-198-244,FALSE,4/25/2019 2:59:00,4/25/2019 2:59:00,Business,Public sector,Gas,Firma Plyn Plus,DD5-SOLAR,Zilina,24ZSS1206121868M,GAS654933,TRUE,Monthly,4/1/2026 13:33:00,213104,0,11387,12/31/2026 0:00:00,Email,Annual,4/30/2026 0:00:00,716.29,180.12,Direct debit,TRUE,0,FALSE,826.32,TRUE,4/10/2025 15:59:00,mobile web,,TRUE,FALSE,TRUE,2,3,1,3/13/2026 6:04:00,Deposit change,5,6,FALSE,FALSE,FALSE,TRUE,1,4,40112.24,SMS,Zilina,01001,22,471100,neziskova organizacia,TRUE
ec976338-6bf7-4546-88d1-53d8c59d9f0b,marek.simekova31@example.sk,16057521,ZX-131-170,,FALSE,11/5/2023 16:45:00,11/5/2023 16:45:00,Household,Standard household,Gas,Plyn Komfort,B2B-DUO,Zvolen,24ZSS2143974109K,GAS164178,FALSE,Quarterly,3/19/2026 14:57:00,8596,0,1016,12/31/2026 0:00:00,Post,Quarterly,4/30/2026 0:00:00,120.88,156.4,Direct debit,FALSE,1,TRUE,99.69,TRUE,3/7/2026 12:39:00,"eZona web, mobile web",,FALSE,FALSE,FALSE,1,3,1,6/24/2025 18:33:00,Deposit change,2,2,FALSE,TRUE,FALSE,FALSE,0,5,4714.32,SMS,Zvolen,96001,,,,FALSE
d7d21c5f-2c36-411e-87a0-bd529a8ca4b4,peter.balaz32@azet.sk,16559979,LM-132-490,,FALSE,6/18/2018 23:25:00,6/18/2018 23:25:00,Household,Senior assisted,Gas,Plyn Domov,B2B-DUO,Liptovsky Mikulas,24ZSS5288590744Q,GAS244440,TRUE,Monthly,3/30/2026 5:05:00,2595,0,1783,12/31/2026 0:00:00,Post,Quarterly,4/30/2026 0:00:00,140.07,113.11,Postal order,FALSE,1,FALSE,130.2,FALSE,,,,TRUE,TRUE,FALSE,5,0,0,,Deposit change,7,6,FALSE,FALSE,FALSE,FALSE,1,4,6303.15,Email,Liptovsky Mikulas,03101,,,,FALSE
3b710dcc-25a0-44dc-871c-92aba1c27272,ivana.kovac33@post.sk,17514160,TX-133-455,,FALSE,5/17/2023 23:16:00,5/17/2023 23:16:00,Household,Solar interest,Electricity,Elektrina Online,DD2-DOM,Trencin,24ZSS1908010255K,ELM950053,TRUE,Monthly,5/6/2026 10:52:00,9055,3142,0,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,73.6,0,Postal order,FALSE,1,FALSE,64.33,TRUE,6/26/2025 21:51:00,eZona web,Android,FALSE,TRUE,TRUE,1,2,0,4/24/2026 14:38:00,Deposit change,9,8,FALSE,FALSE,FALSE,TRUE,1,1,4710.4,SMS,Trencin,91101,,,,TRUE
2bd4d0d1-d68b-4535-93d9-1529714f4db8,michal.kovac34@gmail.com,12713221,BB-134-693,,FALSE,2/5/2022 22:28:00,2/5/2022 22:28:00,Household,Standard household,Electricity,Firma Elektrina Plus,B2B-GAS,Banska Bystrica,24ZSS6008946041Q,ELM766871,TRUE,Monthly,3/31/2026 7:04:00,35764,7071,0,12/31/2026 0:00:00,Email,Annual,4/30/2026 0:00:00,40.34,0,Direct debit,TRUE,0,FALSE,42.14,FALSE,,,,TRUE,FALSE,FALSE,4,3,1,2/12/2026 15:57:00,Meter reading,3,10,TRUE,FALSE,FALSE,FALSE,1,2,1815.3,eZona message,Banska Bystrica,97401,,,,FALSE
a76c5c9e-725e-414d-a8fb-30240b5a7f4a,simona.kovac35@azet.sk,15957685,TX-135-495,,FALSE,11/25/2023 17:29:00,11/25/2023 17:29:00,Household,Digital household,Electricity + Gas,Duo Komfort,DD1-DOM,Trencin,24ZSS9324299389K,ELM121129,TRUE,Monthly,4/22/2026 1:13:00,37682,7830,1219,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,138.53,0,Direct debit,TRUE,0,FALSE,161.71,FALSE,,,,FALSE,TRUE,TRUE,5,2,1,3/20/2025 5:21:00,Solar consultation,4,10,FALSE,TRUE,TRUE,FALSE,4,6,3324.72,SMS,Trencin,91101,,,,FALSE
005fdbc6-626f-433c-a19c-4827990fbf9c,katarina.bartosova36@example-business.sk,24790717,BB-136-339,,TRUE,5/18/2025 4:10:00,5/18/2025 4:10:00,Business,Hospitality,Electricity,Elektrina Domov,B2B-DUO,Banska Bystrica,24ZSS2474668825M,ELM438244,FALSE,Quarterly,3/8/2026 16:16:00,205893,71061,0,12/31/2026 0:00:00,Post,Annual,4/30/2026 0:00:00,205.5,0,Direct debit,TRUE,0,FALSE,200.67,TRUE,2/1/2026 23:17:00,eZona web,Android,TRUE,TRUE,FALSE,0,0,1,,Complaint,3,8,FALSE,FALSE,FALSE,FALSE,1,5,5548.5,eZona message,Banska Bystrica,97401,44,620100,zivnostnik,FALSE
